gun,kapanis_fiyat
1,8.259.000
2,8.319.300
3,8.329.000
4,8.276.750
5,8.238.000
6,8.271.400
7,8.289.500
8,8.432.900
9,8.499.400
10,8.445.100
11,8.302.020
12,8.355.140
13,8.410.600
14,8.369.310
15,8.416.300
16,8.377.970
17,8.452.300
18,8.451.200
19,8.482.350
20,8.573.400
21,8.487.800
22,8.601.700
23,8.580.490
24,8.706.800
25,8.673.000
26,8.597.150
27,8.599.700
28,8.582.300
29,8.425.200
30,8.378.480
31,8.455.760
32,8.555.900
33,8.620.000
34,8.713.450
35,8.754.280
36,8.779.200
37,8.638.950
38,8.634.500
39,8.697.300
40,8.747.310
41,8.683.100
42,8.726.000
43,8.704.700
44,8.664.610
45,8.688.400
46,8.660.000
47,8.680.300
48,8.678.500
49,8.681.900
50,8.654.300
51,8.632.100
52,8.619.200
53,8.584.050
54,8.560.690
55,8.532.100
56,8.580.100
57,8.570.400
58,8.554.160
59,8.556.500
60,8.547.570
61,8.554.500
62,8.556.100
63,8.551.260
64,8.452.260
65,8.436.680
66,8.349.800
67,8.401.200
68,8.475.500
69,8.525.600
70,8.627.900
71,8.648.990
72,8.598.800
73,8.625.440
74,8.561.190
75,8.512.200
76,8.454.700
77,8.426.670
78,8.453.520
79,8.530.800
80,8.490.800
81,8.426.500
82,8.411.800
83,8.373.380
84,8.376.410
85,8.348.630
86,8.367.300
87,8.304.500
88,8.283.780
89,8.279.580
90,8.312.650
91,8.276.780
92,8.344.800
93,8.472.200
94,8.440.400
95,8.466.600
96,8.422.100
97,8.430.670
98,8.425.800
99,8.529.010
100,8.635.200
101,8.668.300
102,8.620.400
103,8.656.300
104,8.756.430
105,8.858.620
106,8.814.200
107,8.866.900
108,8.916.140
109,8.885.000
110,8.852.600
111,8.847.100
112,8.861.960
113,8.866.040
114,8.870.900
115,8.955.010
116,8.994.870
117,9.037.990
118,9.146.920
119,9.190.100
120,9.236.950
121,9.339.100
122,9.305.400
123,9.214.960
124,9.531.150
125,9.674.400
126,9.586.700
127,9.529.070
128,9.505.700
129,9.525.120
130,9.582.900
131,9.539.910
132,9.600.800
133,9.639.600
134,9.694.030
135,9.687.740
136,9.683.160
137,9.727.200
138,9.843.100
139,9.920.900
140,10.029.610
141,10.057.500
142,10.342.200
143,10.730.780
144,11.037.120
145,11.105.500
146,11.406.100
147,12.818.900
148,11.914.000
149,11.984.300
150,12.329.100
151,12.699.000
152,13.501.600
153,13.443.200
154,13.717.100
155,13.632.050
156,13.783.150
157,13.520.500
158,13.682.700
159,13.773.300
160,13.854.890
161,13.803.290
162,14.377.800
163,14.814.100
164,15.660.750
165,16.608.980
166,13.475.900
167,12.270.710
168,12.032.300
169,11.413.300
170,10.807.070
171,11.521.050
172,11.803.120
173,12.640.300
174,13.290.500
175,13.356.600
176,13.061.700
177,13.411.500
178,13.688.000
179,13.782.100
180,13.749.350
181,13.809.000
182,13.760.500
183,13.243.400
184,13.582.700
185,13.433.180
186,13.450.600
187,13.527.700
188,13.423.600
189,13.355.000
190,13.434.650
191,13.434.760
192,13.476.900
193,13.577.100
194,13.617.600
195,13.482.050
196,13.295.800
197,13.350.180
198,13.465.600
199,13.566.200
200,13.556.660
201,13.570.370
202,13.577.210
203,13.539.200
204,13.496.100
205,13.505.420
206,13.590.800
207,13.603.200
208,13.595.700
209,13.522.600
210,13.608.080
211,13.675.500
212,13.762.280
213,13.820.500
214,14.053.000
215,14.028.840
216,13.791.000
217,13.835.200
218,13.983.000
219,14.113.500
220,14.239.630
221,14.379.000
222,14.491.300
223,14.659.100
224,14.838.000
225,14.750.000
226,14.774.860
227,14.700.800
228,14.557.980
229,14.703.310
230,14.806.860
231,14.821.740
232,14.818.300
233,14.826.700
234,14.836.000
235,14.827.600
236,14.821.400
237,14.569.250
238,14.651.010
239,14.666.200
240,14.674.040
241,14.691.500
242,14.717.900
243,14.699.590
244,14.753.700
245,14.740.200
246,14.664.600
247,14.581.500
248,14.590.600
249,14.622.700
250,14.621.800
251,14.640.900
252,14.652.000
253,14.666.800
254,14.703.990
255,14.747.100
256,14.771.900
257,14.799.700
258,14.809.800
259,14.788.890
260,14.854.900
261,14.886.700
262,14.806.800
